describe,label,image
"The image showcases a close-up view of a green leaf with a rusty, brown, and red coloring. The leaf appears to be a plant stem, and it is covered in rust spots and red dots. The rusty and red spots are scattered across the surface of the leaf, creating a visually interesting pattern. The leaf is positioned in the center of the image, drawing attention to its unique appearance.",0,../dataset/CornDataset/data/train/Blight/Corn_Blight (625).JPG
"The image features a close-up view of a green plant with a large brown spot on it. The plant appears to be a leaf or a piece of a leaf, and the brown spot stands out against the green background. The plant is situated in a room, possibly a living space or a room with a green wall.",0,../dataset/CornDataset/data/train/Blight/Corn_Blight (834).JPG
"The image features a green leaf with a brown tip, possibly a dead leaf, laying on a gray surface. The leaf is positioned towards the left side of the image, and its brown tip is visible in the center. The gray background provides a contrasting backdrop for the leaf, drawing attention to its unique appearance.",0,../dataset/CornDataset/data/train/Blight/Corn_Blight (1015).jpg
"The image features a close-up view of a leaf with a green stem, showcasing its texture and details. The leaf is large and appears to be a part of a plant, possibly a corn plant. The leaf is covered in spots and has a slightly yellowish hue, giving it a unique and interesting appearance. The close-up view highlights the intricate patterns and textures of the leaf, making it an eye-catching subject.",0,../dataset/CornDataset/data/train/Blight/Corn_Blight (881).JPG
"The image features a close-up view of a leaf with a brown spot on it. The spot is located towards the center of the leaf, and it appears to be a caterpillar or a similar insect. The leaf is green and appears to be a part of a plant, possibly a corn plant. The focus of the image is on the intricate details of the leaf and the insect, creating a captivating and detailed view of the natural world.",0,../dataset/CornDataset/data/train/Blight/Corn_Blight (690).JPG
"The image features a close-up of a leaf with a brown spot on it, possibly a dead spot or a burn. The leaf is green and appears to be a part of a plant, possibly a corn plant. The brown spot is located towards the center of the leaf, and it seems to be the main focus of the image.",0,../dataset/CornDataset/data/train/Blight/Corn_Blight (548).JPG
"The image features a large, green leaf with brown spots, possibly a banana leaf, placed on a gray surface. The leaf is positioned in the center of the scene, and its size is quite impressive. The gray background provides a contrasting backdrop for the leaf, highlighting its vibrant green color and the brown spots. The leaf appears to be the main focus of the image, drawing attention to its unique texture and appearance.",0,../dataset/CornDataset/data/train/Blight/Corn_Blight (719).JPG
"The image features a close-up view of a large, green leaf with brown spots. The leaf appears to be a plant or a piece of corn, possibly a cob, with a few brown spots on it. The leaf is large and occupies most of the image, giving a detailed perspective of its texture and color variations.",0,../dataset/CornDataset/data/train/Blight/Corn_Blight (429).JPG
"The image features a close-up view of a leaf with a green stem. The leaf is large and appears to be in a state of decay, with brown spots and a yellowish tint. The leaf is placed on a surface, possibly a table or a countertop, and it is the main focus of the image.",0,../dataset/CornDataset/data/train/Blight/Corn_Blight (1020).JPG
"The image features a close-up view of a leaf with a green stem. The leaf is large and appears to be in a state of decay, with brown spots and holes visible throughout its surface. The leaf is placed on a gray background, drawing attention to its texture and details.",0,../dataset/CornDataset/data/train/Blight/Corn_Blight (921).JPG
"The image features a close-up view of a leaf with a green stem, showcasing its unique and intricate pattern. The leaf has a mix of green and yellow colors, giving it a vibrant and lively appearance. The leaf is positioned in the center of the image, drawing attention to its striking design.",0,../dataset/CornDataset/data/train/Blight/Corn_Blight (81).jpg
"The image features a close-up view of a leaf with a lot of spots on it. The leaf is green and appears to be a plant leaf. The spots are scattered all over the leaf, with some appearing more prominent than others. The leaf is placed on a surface, possibly a table or a countertop, and it seems to be the main focus of the image.",0,../dataset/CornDataset/data/train/Blight/Corn_Blight (602).JPG
"The image features a wooden table with a group of green leaves, possibly from a plant or a tree. These leaves are arranged in a way that they are overlapping each other, creating a visually interesting scene. The leaves are of varying sizes and are spread across the table, covering a significant portion of the surface. The overall composition of the image gives a sense of a natural and organic setting.",0,../dataset/CornDataset/data/train/Blight/Corn_Blight (97).jpg
"The image features a close-up view of a large green leaf with brown spots and a white substance on it. The leaf is likely a plant or a piece of corn, as it is described as a corn leaf. The brown spots and white substance on the leaf suggest that it might be affected by a disease or pests, which could be a concern for the plant's health. The leaf is positioned in the center of the image, and the focus is on its texture and appearance, highlighting the brown spots and white substance.",0,../dataset/CornDataset/data/train/Blight/Corn_Blight (518).JPG
"The image features a close-up view of a corn plant with a large, brown spot on the side of it. The spot is located near the top of the plant, and it appears to be a blemish or damage to the plant. The corn plant is surrounded by other plants, creating a lush green background. The focus of the image is on the corn plant and its unique spot, drawing attention to the intricate details of the plant.",0,../dataset/CornDataset/data/train/Blight/Corn_Blight (823).JPG
"The image features a close-up view of a green leaf with a brown spot on it. The leaf appears to be a part of a plant, possibly a corn plant, and the brown spot is located towards the center of the leaf. The leaf is large and occupies most of the image, giving a detailed view of its texture and appearance.",0,../dataset/CornDataset/data/train/Blight/Corn_Blight (1064).JPG
